iter	RMSE
0	14.46223856
1	14.07685104
2	13.6825824
3	13.36839965
4	12.98627286
5	12.65257275
6	12.31876131
7	11.98461569
8	11.66769648
9	11.32685545
10	11.06295683
11	10.78596522
12	10.53048556
13	10.23535475
14	9.969906199
15	9.728102039
16	9.499777452
17	9.306573906
18	9.101093293
19	8.886738054
20	8.680446397
21	8.511076377
22	8.324949938
23	8.160084698
24	8.001875206
25	7.823294711
26	7.681477579
27	7.538271167
28	7.386807887
29	7.245967133
30	7.093940388
31	6.944564692
32	6.814757176
33	6.680442896
34	6.570627755
35	6.465209997
36	6.370651626
37	6.258605034
38	6.161707305
39	6.081322305
40	5.989501654
41	5.906352913
42	5.829046246
43	5.745670802
44	5.670376322
45	5.591334512
46	5.517980414
47	5.440900362
48	5.372688135
49	5.299791313
50	5.234479597
51	5.18348569
52	5.124733358
53	5.067651369
54	5.007004338
55	4.950403767
56	4.898810746
57	4.850639523
58	4.800408488
59	4.754765502
60	4.714718336
61	4.669056417
62	4.627655295
63	4.587244999
64	4.545600941
65	4.513565216
66	4.486531077
67	4.45334368
68	4.419727275
69	4.390623807
70	4.359954607
71	4.332545829
72	4.301636534
73	4.271999203
74	4.246524024
75	4.221669241
76	4.197910482
77	4.174234384
78	4.152453542
79	4.1287022
80	4.101030119
81	4.084091419
82	4.061966176
83	4.045966794
84	4.024762397
85	4.007341414
86	3.990949687
87	3.970498873
88	3.953609527
89	3.939565586
90	3.925137768
91	3.909297161
92	3.897197251
93	3.883552449
94	3.875448561
95	3.864324575
96	3.853047083
97	3.840820594
98	3.830533009
99	3.820744847
100	3.808665314
101	3.795599037
102	3.785267638
103	3.773139906
104	3.765704156
105	3.753530332
106	3.743834437
107	3.731963222
108	3.719224483
109	3.708060167
110	3.694932515
111	3.684337889
112	3.679877582
113	3.669222173
114	3.663784228
115	3.650501492
116	3.640504034
117	3.628426644
118	3.617238763
119	3.611946232
120	3.598927277
121	3.593317186
122	3.58601856
123	3.576964297
124	3.57227711
125	3.569703048
126	3.563794527
127	3.558757266
128	3.546421834
129	3.532916669
130	3.523024062
131	3.51716112
132	3.510386606
133	3.50496336
134	3.495750932
135	3.486857309
136	3.479618223
137	3.471792634
138	3.465074006
139	3.456306344
140	3.447110565
141	3.440458168
142	3.431609948
143	3.424287634
144	3.415393919
145	3.409790092
146	3.399148972
147	3.395021112
148	3.388460115
149	3.380554923
150	3.377426811
151	3.371044731
152	3.363554077
153	3.349228673
154	3.34101964
155	3.333690704
156	3.327394899
157	3.320486778
158	3.309036225
159	3.300884469
160	3.292846114
161	3.285903643
162	3.279571896
163	3.275883384
164	3.26994167
165	3.261741599
166	3.255366198
167	3.247624754
168	3.241833025
169	3.236807844
170	3.229633964
171	3.220552379
172	3.218009288
173	3.212356387
174	3.20662532
175	3.197295764
176	3.190354238
177	3.182300837
178	3.179330506
179	3.173254483
180	3.167703149
181	3.161357611
182	3.153516399
183	3.146187809
184	3.137245713
185	3.133766746
186	3.12864446
187	3.122410033
188	3.117090387
189	3.11117134
190	3.109050215
191	3.10332205
192	3.100203902
193	3.092679194
194	3.085682205
195	3.081761192
196	3.075163709
197	3.06974239
198	3.062145428
199	3.055726671
200	3.050593138
201	3.040914559
202	3.03250771
203	3.029980529
204	3.024875244
205	3.022893644
206	3.018566493
207	3.007876094
208	3.002581686
209	2.998205939
210	2.9927085
211	2.983827456
212	2.979625344
213	2.974101347
214	2.97166936
215	2.961995527
216	2.957606783
217	2.949146928
218	2.939486788
219	2.929398216
220	2.922635241
221	2.917428647
222	2.914840538
223	2.91111158
224	2.902537964
225	2.895568689
226	2.889147177
227	2.877825572
228	2.870682346
229	2.868965466
230	2.864127982
231	2.854720353
232	2.849968778
233	2.844674623
234	2.843281782
235	2.835796591
236	2.83424746
237	2.829653147
238	2.824006561
239	2.814355808
240	2.806470752
241	2.803618361
242	2.800326541
243	2.792442538
244	2.781748887
245	2.777925161
246	2.767571471
247	2.76011592
248	2.753257034
249	2.749798789
250	2.746205555
251	2.739475656
252	2.738540144
253	2.734899227
254	2.732830441
255	2.72462883
256	2.721364536
257	2.719530198
258	2.711062951
259	2.702102953
260	2.70014439
261	2.69869622
262	2.690317789
263	2.6880803
264	2.682317302
265	2.674748882
266	2.672161819
267	2.670454855
268	2.662553708
