iter	Passed	Remaining
0	50	50621
1	52	26045
2	53	17712
3	54	13472
4	54	10925
5	55	9237
6	56	8007
7	57	7105
8	58	6396
9	58	5816
10	59	5351
11	60	4960
12	60	4623
13	61	4334
14	62	4083
15	62	3869
16	63	3679
17	64	3509
18	65	3356
19	65	3219
20	66	3094
21	67	2983
22	67	2883
23	68	2789
24	69	2704
25	70	2625
26	70	2552
27	71	2484
28	72	2422
29	73	2365
30	73	2313
31	74	2268
32	75	2225
33	76	2184
34	77	2147
35	78	2108
36	79	2074
37	80	2038
38	81	2005
39	82	1974
40	83	1944
41	83	1915
42	84	1888
43	85	1861
44	86	1836
45	87	1811
46	88	1787
47	88	1763
48	89	1740
49	90	1717
50	91	1695
51	91	1674
52	92	1652
53	93	1632
54	93	1611
55	94	1592
56	95	1572
57	95	1555
58	96	1536
59	96	1517
60	97	1499
61	98	1483
62	98	1465
63	99	1448
64	99	1435
65	100	1422
66	101	1408
67	101	1394
68	102	1380
69	102	1366
70	103	1353
71	103	1339
72	104	1325
73	104	1310
74	105	1296
75	105	1282
76	105	1267
77	106	1254
78	106	1240
79	106	1227
80	107	1214
81	107	1202
82	107	1189
83	108	1177
84	108	1165
85	108	1154
86	108	1142
87	109	1131
88	109	1119
89	109	1108
90	109	1097
91	110	1086
92	110	1076
93	110	1066
94	110	1055
95	111	1046
96	111	1035
97	111	1025
98	111	1015
99	111	1006
100	112	997
101	112	988
102	112	979
103	112	970
104	112	961
105	113	953
106	113	944
107	113	936
108	113	928
109	113	920
110	114	913
111	114	905
112	114	898
113	114	890
114	114	883
115	115	876
116	115	869
117	115	862
118	115	857
119	116	851
120	116	845
121	116	838
122	116	833
123	117	827
124	117	822
125	117	816
126	118	811
127	118	805
128	118	800
129	118	796
130	119	790
131	119	784
132	119	780
133	119	775
134	120	771
135	120	766
136	120	761
137	121	756
138	121	751
139	121	746
140	121	741
141	121	736
142	122	732
143	122	727
144	122	722
145	122	717
146	122	712
147	123	708
148	123	704
149	123	699
150	123	695
151	123	690
152	124	686
153	124	682
154	124	678
155	124	674
156	124	670
157	125	666
158	125	662
159	125	658
160	125	655
161	125	651
162	126	647
163	126	644
164	126	641
165	126	637
166	127	633
167	127	630
168	127	627
169	127	623
170	127	620
171	128	617
172	128	613
173	128	609
174	128	606
175	128	603
176	129	600
177	129	596
178	129	593
179	129	590
180	129	587
181	130	584
182	130	581
183	130	578
184	130	575
185	130	572
186	131	569
187	131	567
188	131	564
189	131	561
190	131	558
191	132	555
192	132	553
193	132	550
194	132	547
195	132	544
196	133	542
197	133	539
198	133	536
199	133	534
200	133	531
201	133	529
202	134	526
203	134	524
204	134	521
205	134	519
206	134	517
207	135	514
208	135	512
209	135	510
210	135	507
211	136	505
212	136	503
213	136	500
214	136	498
215	136	496
216	136	494
217	137	492
218	137	489
219	137	487
220	137	485
221	137	483
222	138	481
223	138	479
224	138	477
225	138	475
226	138	473
227	139	471
228	139	469
229	139	467
230	139	465
231	139	463
232	140	461
233	140	459
234	140	457
235	140	455
236	141	454
237	141	452
238	141	450
239	141	448
240	141	446
241	141	444
242	142	442
243	142	441
244	142	439
245	142	437
246	143	435
247	143	434
248	143	432
249	143	430
250	143	429
251	144	427
252	144	425
253	144	424
254	144	422
255	144	420
256	144	419
257	145	417
258	145	415
259	145	414
260	145	412
261	145	411
262	146	409
263	146	408
264	146	406
265	146	405
266	146	403
267	147	402
268	147	400
269	147	399
270	147	397
271	147	396
272	148	394
273	148	393
274	148	391
275	148	390
276	149	388
277	149	387
278	149	386
279	149	384
280	149	383
281	150	382
282	150	380
283	150	379
284	150	377
285	150	376
286	151	375
287	151	374
288	151	372
289	151	371
290	151	370
291	152	368
292	152	367
293	152	366
294	152	364
295	152	363
296	153	362
297	153	361
298	153	359
299	153	358
300	153	357
301	154	356
302	154	355
303	154	353
304	154	352
305	154	351
306	155	350
307	155	349
308	155	348
309	155	346
310	156	345
311	156	344
312	156	343
313	156	342
314	156	341
315	157	339
316	157	338
317	157	337
318	157	336
319	157	335
320	158	334
321	158	333
322	158	332
323	158	331
324	158	329
325	159	328
326	159	327
327	159	326
328	159	325
329	159	324
330	160	323
331	160	322
332	160	321
333	160	320
334	160	319
335	161	318
336	161	317
337	161	316
338	161	315
339	161	314
340	162	313
341	162	312
342	162	311
343	162	310
344	162	309
345	163	308
346	163	307
347	163	306
348	163	305
349	163	304
350	164	303
351	164	302
352	164	301
353	164	300
354	164	299
355	165	298
356	165	297
357	165	296
358	165	295
359	165	294
360	166	293
361	166	293
362	166	292
363	166	291
364	166	290
365	167	289
366	167	288
367	167	287
368	167	286
369	167	285
370	168	285
371	168	284
372	168	283
373	168	282
374	168	281
375	169	280
376	169	279
377	169	278
378	169	278
379	169	277
380	170	276
381	170	275
382	170	274
383	170	273
384	170	273
385	171	272
386	171	271
387	171	270
388	171	269
389	171	268
390	172	268
391	172	267
392	172	266
393	172	265
394	172	264
395	173	264
396	173	263
397	173	262
398	173	261
399	173	260
400	174	260
401	174	259
402	174	258
403	174	257
404	174	257
405	175	256
406	175	255
407	175	254
408	175	253
409	175	253
410	176	252
411	176	251
412	176	250
413	176	250
414	176	249
415	177	248
416	177	248
417	177	247
418	177	246
419	178	245
420	178	245
421	178	244
422	178	243
423	178	243
424	179	242
425	179	241
426	179	240
427	179	240
428	179	239
429	180	238
430	180	238
431	180	237
432	180	236
433	180	235
434	181	235
435	181	234
436	181	233
437	181	233
438	181	232
439	182	231
440	182	231
441	182	230
442	182	229
443	182	229
444	183	228
445	183	227
446	183	227
447	183	226
448	183	225
449	184	225
450	184	224
451	184	223
452	184	223
453	184	222
454	185	221
455	185	221
456	185	220
457	185	219
458	185	219
459	186	218
460	186	217
461	186	217
462	186	216
463	186	215
464	187	215
465	187	214
466	187	214
467	187	213
468	187	212
469	188	212
470	188	211
471	188	210
472	188	210
473	189	209
474	189	209
475	189	208
476	189	208
477	189	207
478	190	206
479	190	206
480	190	205
481	190	204
482	190	204
483	191	203
484	191	203
485	191	202
486	191	201
487	191	201
488	192	200
489	192	200
490	192	199
491	192	199
492	192	198
493	193	197
494	193	197
495	193	196
496	193	196
497	193	195
498	194	194
499	194	194
500	194	193
501	194	193
502	195	192
503	195	192
504	195	191
505	195	191
506	195	190
507	196	189
508	196	189
509	196	188
510	196	188
511	196	187
512	197	187
513	197	186
514	197	185
515	197	185
516	197	184
517	198	184
518	198	183
519	198	183
520	198	182
521	198	182
522	198	181
523	199	180
524	199	180
525	199	179
526	199	179
527	199	178
528	200	178
