iter	Passed	Remaining
0	47	47655
1	49	24540
2	51	17095
3	53	13281
4	55	10991
5	57	9448
6	58	8330
7	60	7523
8	62	6866
9	64	6347
10	65	5924
11	67	5567
12	69	5276
13	71	5046
14	73	4840
15	75	4643
16	77	4455
17	78	4291
18	80	4132
19	81	3991
20	82	3854
21	83	3729
22	84	3601
23	85	3491
24	86	3385
25	87	3291
26	88	3198
27	89	3111
28	90	3028
29	91	2953
30	92	2879
31	93	2816
32	93	2750
33	94	2687
34	95	2626
35	95	2567
36	96	2513
37	97	2458
38	97	2407
39	98	2357
40	98	2314
41	99	2268
42	99	2225
43	100	2182
44	100	2142
45	101	2102
46	101	2064
47	102	2027
48	102	1993
49	103	1958
50	103	1925
51	103	1893
52	104	1862
53	104	1831
54	104	1802
55	105	1774
56	105	1746
57	105	1720
58	106	1694
59	106	1670
60	106	1646
61	107	1622
62	108	1609
63	108	1587
64	108	1564
65	109	1543
66	109	1522
67	109	1502
68	109	1482
69	110	1463
70	110	1444
71	110	1426
72	110	1409
73	111	1394
74	111	1377
75	111	1361
76	112	1345
77	112	1330
78	112	1314
79	112	1298
80	113	1284
81	113	1270
82	113	1256
83	114	1243
84	114	1230
85	114	1217
86	114	1206
87	115	1194
88	115	1182
89	115	1170
90	116	1160
91	116	1149
92	116	1139
93	117	1130
94	117	1120
95	118	1111
96	118	1102
97	118	1092
98	119	1083
99	119	1073
100	119	1064
101	119	1055
102	120	1046
103	120	1037
104	120	1028
105	120	1020
106	121	1011
107	121	1004
108	121	996
109	122	988
110	122	980
111	122	972
112	122	965
113	123	957
114	123	950
115	123	942
116	124	935
117	124	928
118	124	921
119	124	914
120	124	907
121	125	901
122	125	894
123	125	888
124	126	882
125	126	876
126	126	870
127	126	864
128	127	858
129	127	852
130	127	846
131	127	841
132	128	835
133	128	833
134	129	827
135	129	822
136	129	817
137	130	812
138	130	808
139	130	804
140	131	800
141	131	795
142	132	791
143	132	787
144	132	782
145	133	778
146	133	773
147	133	769
148	133	764
149	134	760
150	134	755
151	134	751
152	134	747
153	135	743
154	135	739
155	136	736
156	136	732
157	136	728
158	136	724
159	137	720
160	137	716
161	137	713
162	138	709
163	138	705
164	138	701
165	138	697
166	139	693
167	139	690
168	139	686
169	139	683
170	140	679
171	140	676
172	140	672
173	141	669
174	141	666
175	141	662
176	141	659
177	142	656
178	142	653
179	142	649
180	142	646
181	143	643
182	143	640
183	143	637
184	143	634
185	144	631
186	144	628
187	144	625
188	145	622
189	145	619
190	145	616
191	145	613
192	146	611
193	146	608
194	146	605
195	146	602
196	147	600
197	147	597
198	148	597
199	148	594
200	148	592
201	149	589
202	149	586
203	149	584
204	150	581
205	150	579
206	150	577
207	150	574
208	151	572
209	151	569
210	151	567
211	152	564
212	152	562
213	152	560
214	152	557
215	153	555
216	153	553
217	153	551
218	153	548
219	154	546
220	154	544
221	154	542
222	154	540
223	155	537
224	155	535
225	155	533
226	156	531
227	156	529
228	156	527
229	156	525
230	157	523
231	157	521
232	157	519
233	157	517
234	158	515
235	158	513
236	158	511
237	159	509
238	159	507
239	159	505
240	159	503
241	160	501
242	160	499
243	160	498
244	160	496
245	161	494
246	161	492
247	161	490
248	162	488
249	162	487
250	162	485
251	163	484
252	163	483
253	163	481
254	164	479
255	164	478
256	164	476
257	165	474
258	165	473
259	165	471
260	165	469
261	166	468
262	166	466
263	166	464
264	166	463
265	167	461
266	167	459
267	167	458
268	168	456
269	168	455
270	168	453
271	168	452
272	169	450
273	169	449
274	169	447
275	169	445
276	170	444
277	170	442
278	170	441
279	171	439
280	171	438
281	171	436
282	171	435
283	172	434
284	172	432
285	172	431
286	173	429
287	173	428
288	173	426
289	173	425
290	174	424
291	174	422
292	174	421
293	174	419
294	175	418
295	175	417
296	175	415
297	175	414
298	176	413
299	176	411
300	176	410
301	176	409
302	177	407
303	177	406
304	177	405
305	178	403
306	178	402
307	178	401
308	178	400
